CELL_LINE_NAME,TISSUE_TYPE
A253,aero_dig_tract
BB30-HNC,aero_dig_tract
BB49-HNC,aero_dig_tract
BHY,aero_dig_tract
BICR10,aero_dig_tract
BICR22,aero_dig_tract
BICR31,aero_dig_tract
BICR78,aero_dig_tract
CA9-22,aero_dig_tract
CAL-27,aero_dig_tract
CAL-33,aero_dig_tract
DETROIT562,aero_dig_tract
DOK,aero_dig_tract
FADU,aero_dig_tract
H3118,aero_dig_tract
HN,aero_dig_tract
HO-1-N-1,aero_dig_tract
HO-1-U-1,aero_dig_tract
HSC-2,aero_dig_tract
HSC-3,aero_dig_tract
HSC-4,aero_dig_tract
JHU-011,aero_dig_tract
JHU-022,aero_dig_tract
KON,aero_dig_tract
KOSC-2,aero_dig_tract
LB771-HNC,aero_dig_tract
OSC-19,aero_dig_tract
OSC-20,aero_dig_tract
PCI-15A,aero_dig_tract
PCI-30,aero_dig_tract
PCI-38,aero_dig_tract
PCI-4B,aero_dig_tract
PCI-6A,aero_dig_tract
PE/CA-PJ15,aero_dig_tract
RPMI-2650,aero_dig_tract
SAS,aero_dig_tract
SAT,aero_dig_tract
SCC-15,aero_dig_tract
SCC-25,aero_dig_tract
SCC-4,aero_dig_tract
SCC-9,aero_dig_tract
SKN-3,aero_dig_tract
COLO-680N,aero_dig_tract
EC-GI-10,aero_dig_tract
ESO26,aero_dig_tract
ESO51,aero_dig_tract
FLO-1,aero_dig_tract
HCE-4,aero_dig_tract
KYAE-1,aero_dig_tract
KYSE-140,aero_dig_tract
KYSE-150,aero_dig_tract
KYSE-180,aero_dig_tract
KYSE-220,aero_dig_tract
KYSE-270,aero_dig_tract
KYSE-410,aero_dig_tract
KYSE-450,aero_dig_tract
KYSE-50,aero_dig_tract
KYSE-510,aero_dig_tract
KYSE-520,aero_dig_tract
KYSE-70,aero_dig_tract
OACM5-1,aero_dig_tract
OACP4C,aero_dig_tract
OE19,aero_dig_tract
OE21,aero_dig_tract
OE33,aero_dig_tract
SK-GT-4,aero_dig_tract
TE-1,aero_dig_tract
TE-10,aero_dig_tract
TE-11,aero_dig_tract
TE-12,aero_dig_tract
TE-15,aero_dig_tract
TE-4,aero_dig_tract
TE-5,aero_dig_tract
TE-6,aero_dig_tract
TE-8,aero_dig_tract
TE-9,aero_dig_tract
T-T,aero_dig_tract
CESS,leukemia
CTV-1,leukemia
GDM-1,leukemia
HEL,leukemia
HL-60,leukemia
KASUMI-1,leukemia
KG-1,leukemia
KMOE-2,leukemia
ME-1,leukemia
ML-2,leukemia
MOLM-13,leukemia
MONO-MAC-6,leukemia
NKM-1,leukemia
NOMO-1,leukemia
OCI-AML2,leukemia
OCI-AML3,leukemia
OCI-AML5,leukemia
OCI-M1,leukemia
P31-FUJ,leukemia
PL-21,leukemia
QIMR-WIL,leukemia
SIG-M5,leukemia
THP-1,leukemia
KARPAS-299,lymphoma
SU-DHL-1,lymphoma
SUP-M2,lymphoma
BALL-1,leukemia
KARPAS-231,leukemia
KOPN-8,leukemia
MHH-CALL-2,leukemia
MHH-PREB-1,leukemia
MN-60,leukemia
NALM-6,leukemia
RCH-ACV,leukemia
REH,leukemia
ROS-50,leukemia
SUP-B8,leukemia
U-698-M,leukemia
A3-KAW,lymphoma
A4-FUK,lymphoma
BC-1,lymphoma
CRO-AP2,lymphoma
CTB-1,lymphoma
DB,lymphoma
DOHH-2,lymphoma
FARAGE,lymphoma
GRANTA-519,lymphoma
JEKO-1,lymphoma
JSC-1,lymphoma
KARPAS-1106P,lymphoma
KARPAS-422,lymphoma
MC116,lymphoma
NU-DUL-1,lymphoma
OCI-LY-19,lymphoma
RC-K8,lymphoma
RL,lymphoma
SCC-3,lymphoma
SLVL,lymphoma
SU-DHL-10,lymphoma
SU-DHL-16,lymphoma
SU-DHL-4,lymphoma
SU-DHL-5,lymphoma
SU-DHL-6,lymphoma
SU-DHL-8,lymphoma
TK,lymphoma
TUR,lymphoma
VAL,lymphoma
WSU-DLCL2,lymphoma
BL-41,lymphoma
CA46,lymphoma
DAUDI,lymphoma
DG-75,lymphoma
EB2,lymphoma
EB-3,lymphoma
GA-10,lymphoma
JIYOYEP-2003,lymphoma
NAMALWA,lymphoma
P32-ISH,lymphoma
RAJI,lymphoma
RAMOS-2G6-4C10,lymphoma
ST486,lymphoma
BV-173,leukemia
CML-T1,leukemia
EM-2,leukemia
JURL-MK1,leukemia
K-562,leukemia
KCL-22,leukemia
KU812,leukemia
LAMA-84,leukemia
MEG-01,leukemia
RPMI-8866,leukemia
AMO-1,myeloma
EOL-1-CELL,leukemia
JJN-3,myeloma
KARPAS-620,myeloma
MC-CAR,myeloma
SKM-1,leukemia
HC-1,leukemia
MLMA,leukemia
MO-T,leukemia
HDLM-2,lymphoma
HD-MY-Z,lymphoma
HS-445,lymphoma
KM-H2,lymphoma
L-1236,lymphoma
L-428,lymphoma
L-540,lymphoma
RPMI-6666,lymphoma
SUP-HD1,lymphoma
KY821,leukemia
MV-4-11,leukemia
RS4-11,leukemia
697,leukemia
ALL-PO,leukemia
BE-13,leukemia
CCRF-CEM,leukemia
GR-ST,leukemia
HAL-01,leukemia
KARPAS-45,leukemia
KE-37,leukemia
LC4-1,leukemia
MOLT-4,leukemia
P30-OHK,leukemia
SUP-B15,leukemia
ATN-1,leukemia
LOUCY,leukemia
MOLT-13,leukemia
MOLT-16,leukemia
P12-ICHIKAWA,leukemia
PF-382,leukemia
RPMI-8402,leukemia
SUP-T1,leukemia
DEL,lymphoma
EHEB,lymphoma
EJM,myeloma
H9,lymphoma
JVM-2,lymphoma
JVM-3,lymphoma
SR,lymphoma
WIL2-NS,lymphoma
WSU-NHL,lymphoma
YT,lymphoma
ARH-77,myeloma
IM-9,myeloma
KMS-12-BM,myeloma
L-363,myeloma
LP-1,myeloma
MM1S,myeloma
MOLP-8,myeloma
NCI-H929,myeloma
OPM-2,myeloma
RPMI-8226,myeloma
SK-MM-2,myeloma
U-266,myeloma
ALL-SIL,leukemia
DND-41,leukemia
HH,leukemia
JURKAT,leukemia
CS1,bone
SJSA-1,bone
CAL-78,bone
CHSA8926,bone
H-EMC-SS,bone
CADO-ES1,bone
ES1,bone
ES3,bone
ES4,bone
ES5,bone
ES7,bone
ES8,bone
EW-1,bone
EW-11,bone
EW-12,bone
EW-13,bone
EW-16,bone
EW-18,bone
EW-22,bone
EW-24,bone
EW-3,bone
EW-7,bone
SK-ES-1,bone
SK-PN-DW,bone
TC-71,bone
CAL-72,bone
G-292 CLONE A141B1,bone
HOS,bone
HUO-3N1,bone
HUO9,bone
MG-63,bone
NOS-1,bone
NY,bone
SAOS-2,bone
U-2-OS,bone
AU565,breast
BT-20,breast
BT-474,breast
BT-483,breast
BT-549,breast
CAL-120,breast
CAL-148,breast
CAL-51,breast
CAL-85-1,breast
CAMA-1,breast
COLO-824,breast
DU-4475,breast
EFM-19,breast
EFM-192A,breast
EVSA-T,breast
HCC1143,breast
HCC1187,breast
HCC1395,breast
HCC1419,breast
HCC1428,breast
HCC1500,breast
HCC1569,breast
HCC1599,breast
HCC1806,breast
HCC1937,breast
HCC1954,breast
HCC202,breast
HCC2157,breast
HCC2218,breast
HCC38,breast
HCC70,breast
HDQ-P1,breast
HS-578-T,breast
MCF7,breast
MDA-MB-157,breast
MDA-MB-231,breast
MDA-MB-330,breast
MDA-MB-361,breast
MDA-MB-415,breast
MDA-MB-436,breast
MDA-MB-453,breast
MDA-MB-468,breast
MFM-223,breast
MRK-NU-1,breast
OCUB-M,breast
T47D,breast
UACC-812,breast
UACC-893,breast
ZR-75-30,breast
EGI-1,digestive_system
ETK-1,digestive_system
HUCCT1,digestive_system
TGBC1TKB,digestive_system
TGBC24TKB,digestive_system
HUTU-80,digestive_system
C2BBE1,large_intestine
CAR-1,large_intestine
CCK-81,large_intestine
CL-11,large_intestine
CL-40,large_intestine
COLO-205,large_intestine
COLO-320-HSR,large_intestine
COLO-678,large_intestine
CW-2,large_intestine
GP5D,large_intestine
HCC2998,large_intestine
HCC-56,large_intestine
HCT-116,large_intestine
HCT-15,large_intestine
HT-115,large_intestine
HT-29,large_intestine
HT55,large_intestine
KM12,large_intestine
LOVO,large_intestine
LS-1034,large_intestine
LS-123,large_intestine
LS-180,large_intestine
LS-411N,large_intestine
LS-513,large_intestine
MDST8,large_intestine
NCI-H630,large_intestine
NCI-H716,large_intestine
NCI-H747,large_intestine
RCM-1,large_intestine
RKO,large_intestine
SK-CO-1,large_intestine
SNU-1040,large_intestine
SNU-175,large_intestine
SNU-407,large_intestine
SNU-61,large_intestine
SNU-81,large_intestine
SNU-C1,large_intestine
SNU-C2B,large_intestine
SNU-C5,large_intestine
SW1116,large_intestine
SW1417,large_intestine
SW1463,large_intestine
SW48,large_intestine
SW837,large_intestine
SW948,large_intestine
T84,large_intestine
C3A,digestive_system
HEP 3B2_1-7,digestive_system
HLE,digestive_system
HUH-1,digestive_system
HUH-7,digestive_system
JHH-1,digestive_system
JHH-6,digestive_system
JHH-7,digestive_system
SK-HEP-1,digestive_system
SNU-182,digestive_system
SNU-387,digestive_system
SNU-398,digestive_system
SNU-423,digestive_system
SNU-449,digestive_system
SNU-475,digestive_system
23132-87,digestive_system
AGS,digestive_system
ECC10,digestive_system
ECC12,digestive_system
FU97,digestive_system
GCIY,digestive_system
GT3TKB,digestive_system
HGC-27,digestive_system
HS746T,digestive_system
HSC-39,digestive_system
IM-95,digestive_system
KATOIII,digestive_system
MKN1,digestive_system
MKN28,digestive_system
MKN45,digestive_system
MKN7,digestive_system
NCI-N87,digestive_system
NCI-SNU-1,digestive_system
NCI-SNU-16,digestive_system
NCI-SNU-5,digestive_system
NUGC-3,digestive_system
NUGC-4,digestive_system
OCUM-1,digestive_system
RERF-GC-1B,digestive_system
RF-48,digestive_system
SCH,digestive_system
SK-GT-2,digestive_system
TGBC11TKB,digestive_system
SW13,kidney
769-P,kidney
786-0,kidney
A498,kidney
A704,kidney
ACHN,kidney
BB65-RCC,kidney
BFTC-909,kidney
CAKI-1,kidney
CAL-54,kidney
G-401,kidney
HA7-RCC,kidney
KMRC-1,kidney
KMRC-20,kidney
LB1047-RCC,kidney
LB2241-RCC,kidney
LB996-RCC,kidney
NCC010,kidney
NCC021,kidney
OS-RC-2,kidney
RCC10RGB,kidney
RCC-AB,kidney
RCC-ER,kidney
RCC-FG2,kidney
RCC-JW,kidney
RCC-MF,kidney
RXF393,kidney
SN12C,kidney
TK10,kidney
U031,kidney
VMRC-RCZ,kidney
201T,lung_NSCLC
A549,lung_NSCLC
ABC-1,lung_NSCLC
CALU-3,lung_NSCLC
CALU-6,lung_NSCLC
COR-L105,lung_NSCLC
EKVX,lung_NSCLC
EMC-BAC-1,lung_NSCLC
EMC-BAC-2,lung_NSCLC
H3255,lung_NSCLC
HCC-44,lung_NSCLC
HCC-78,lung_NSCLC
HCC-827,lung_NSCLC
LC-2-AD,lung_NSCLC
LXF-289,lung_NSCLC
NCI-H1355,lung_NSCLC
NCI-H1395,lung_NSCLC
NCI-H1435,lung_NSCLC
NCI-H1563,lung_NSCLC
NCI-H1568,lung_NSCLC
NCI-H1573,lung_NSCLC
NCI-H1623,lung_NSCLC
NCI-H1648,lung_NSCLC
NCI-H1650,lung_NSCLC
NCI-H1651,lung_NSCLC
NCI-H1666,lung_NSCLC
NCI-H1693,lung_NSCLC
NCI-H1703,lung_NSCLC
NCI-H1734,lung_NSCLC
NCI-H1755,lung_NSCLC
NCI-H1781,lung_NSCLC
NCI-H1792,lung_NSCLC
NCI-H1793,lung_NSCLC
NCI-H1838,lung_NSCLC
NCI-H1944,lung_NSCLC
NCI-H1975,lung_NSCLC
NCI-H1993,lung_NSCLC
NCI-H2009,lung_NSCLC
NCI-H2023,lung_NSCLC
NCI-H2030,lung_NSCLC
NCI-H2085,lung_NSCLC
NCI-H2087,lung_NSCLC
NCI-H2122,lung_NSCLC
NCI-H2228,lung_NSCLC
NCI-H2291,lung_NSCLC
NCI-H23,lung_NSCLC
NCI-H2342,lung_NSCLC
NCI-H2347,lung_NSCLC
NCI-H2405,lung_NSCLC
NCI-H292,lung_NSCLC
NCI-H3122,lung_NSCLC
NCI-H322M,lung_NSCLC
NCI-H358,lung_NSCLC
NCI-H441,lung_NSCLC
NCI-H522,lung_NSCLC
NCI-H596,lung_NSCLC
NCI-H650,lung_NSCLC
NCI-H838,lung_NSCLC
PC-14,lung_NSCLC
RERF-LC-KJ,lung_NSCLC
RERF-LC-MS,lung_NSCLC
SK-LU-1,lung_NSCLC
SW1573,lung_NSCLC
NCI-H720,lung_NSCLC
NCI-H727,lung_NSCLC
NCI-H835,lung_NSCLC
UMC-11,lung_NSCLC
COR-L23,lung_NSCLC
HOP-92,lung_NSCLC
IA-LM,lung_NSCLC
LCLC-103H,lung_NSCLC
LCLC-97TM1,lung_NSCLC
LU-65,lung_NSCLC
LU-99A,lung_NSCLC
NCI-H1155,lung_NSCLC
NCI-H1299,lung_NSCLC
NCI-H1581,lung_NSCLC
NCI-H1915,lung_NSCLC
NCI-H661,lung_NSCLC
NCI-H810,lung_NSCLC
A427,lung_NSCLC
BEN,lung_NSCLC
CAL-12T,lung_NSCLC
CHAGO-K-1,lung_NSCLC
HCC-366,lung_NSCLC
NCI-H1770,lung_NSCLC
NCI-H2110,lung_NSCLC
NCI-H2135,lung_NSCLC
NCI-H2172,lung_NSCLC
NCI-H2444,lung_NSCLC
NCI-H647,lung_NSCLC
EBC-1,lung_NSCLC
EPLC-272H,lung_NSCLC
HARA,lung_NSCLC
HCC-15,lung_NSCLC
KNS-62,lung_NSCLC
LC-1-SQ,lung_NSCLC
LK-2,lung_NSCLC
LOU-NH91,lung_NSCLC
NCI-H1869,lung_NSCLC
NCI-H2170,lung_NSCLC
NCI-H226,lung_NSCLC
NCI-H520,lung_NSCLC
RERF-LC-SQ1,lung_NSCLC
SK-MES-1,lung_NSCLC
SW900,lung_NSCLC
COR-L321,lung
COLO-668,lung_SCLC
COR-L279,lung_SCLC
COR-L303,lung_SCLC
COR-L311,lung_SCLC
COR-L32,lung_SCLC
COR-L88,lung_SCLC
CPC-N,lung_SCLC
DMS-114,lung_SCLC
DMS-273,lung_SCLC
DMS-53,lung_SCLC
IST-SL1,lung_SCLC
IST-SL2,lung_SCLC
LB647-SCLC,lung_SCLC
LU-134-A,lung_SCLC
LU-135,lung_SCLC
LU-139,lung_SCLC
LU-165,lung_SCLC
MS-1,lung_SCLC
NCI-H1048,lung_SCLC
NCI-H1092,lung_SCLC
NCI-H1105,lung_SCLC
NCI-H1341,lung_SCLC
NCI-H1417,lung_SCLC
NCI-H1436,lung_SCLC
NCI-H146,lung_SCLC
NCI-H1688,lung_SCLC
NCI-H1694,lung_SCLC
NCI-H1836,lung_SCLC
NCI-H187,lung_SCLC
NCI-H1876,lung_SCLC
NCI-H196,lung_SCLC
NCI-H1963,lung_SCLC
NCI-H2029,lung_SCLC
NCI-H2066,lung_SCLC
NCI-H209,lung_SCLC
NCI-H211,lung_SCLC
NCI-H2141,lung_SCLC
NCI-H2196,lung_SCLC
NCI-H2227,lung_SCLC
NCI-H250,lung_SCLC
NCI-H345,lung_SCLC
NCI-H378,lung_SCLC
NCI-H446,lung_SCLC
NCI-H510A,lung_SCLC
NCI-H524,lung_SCLC
NCI-H526,lung_SCLC
NCI-H64,lung_SCLC
NCI-H69,lung_SCLC
NCI-H748,lung_SCLC
NCI-H82,lung_SCLC
NCI-H841,lung_SCLC
NCI-H847,lung_SCLC
SBC-1,lung_SCLC
SBC-3,lung_SCLC
SBC-5,lung_SCLC
H2369,lung
H2373,lung
H2461,lung
H2591,lung
H2595,lung
H2722,lung
H2731,lung
H2795,lung
H2803,lung
H2804,lung
H2810,lung
H2818,lung
H2869,lung
H290,lung
H513,lung
IST-MES1,lung
MPP-89,lung
MSTO-211H,lung
NCI-H2052,lung
NCI-H2452,lung
NCI-H28,lung
42-MG-BA,nervous_system
8-MG-BA,nervous_system
A172,nervous_system
AM-38,nervous_system
BECKER,nervous_system
CAS-1,nervous_system
CCF-STTG1,nervous_system
D-247MG,nervous_system
D-263MG,nervous_system
D-336MG,nervous_system
D-392MG,nervous_system
D-502MG,nervous_system
D-542MG,nervous_system
D-566MG,nervous_system
DBTRG-05MG,nervous_system
DK-MG,nervous_system
GAMG,nervous_system
GB-1,nervous_system
GI-1,nervous_system
GMS-10,nervous_system
H4,nervous_system
HS683,nervous_system
KALS-1,nervous_system
KINGS-1,nervous_system
KNS-42,nervous_system
KNS-81-FD,nervous_system
KS-1,nervous_system
LN-18,nervous_system
LN-229,nervous_system
LN-405,nervous_system
LNZTA3WT4,nervous_system
M059J,nervous_system
MOG-G-CCM,nervous_system
MOG-G-UVW,nervous_system
NMC-G1,nervous_system
NO-10,nervous_system
NO-11,nervous_system
SF126,nervous_system
SF268,nervous_system
SF295,nervous_system
SF539,nervous_system
SK-MG-1,nervous_system
SNB75,nervous_system
SW1088,nervous_system
SW1783,nervous_system
T98G,nervous_system
U-118-MG,nervous_system
U251,nervous_system
U-87-MG,nervous_system
YH-13,nervous_system
YKG-1,nervous_system
D-283MED,nervous_system
DAOY,nervous_system
ONS-76,nervous_system
PFSK-1,nervous_system
BE2-M17,neuroblastoma
CHP-126,neuroblastoma
CHP-134,neuroblastoma
CHP-212,neuroblastoma
GI-ME-N,neuroblastoma
GOTO,neuroblastoma
IMR-5,neuroblastoma
KELLY,neuroblastoma
KP-N-YN,neuroblastoma
LAN-6,neuroblastoma
MHH-NB-11,neuroblastoma
NB(TU)1-10,neuroblastoma
NB1,neuroblastoma
NB10,neuroblastoma
NB12,neuroblastoma
NB13,neuroblastoma
NB14,neuroblastoma
NB17,neuroblastoma
NB5,neuroblastoma
NB6,neuroblastoma
NB69,neuroblastoma
NB7,neuroblastoma
NH-12,neuroblastoma
SIMA,neuroblastoma
SK-N-AS,neuroblastoma
SK-N-DZ,neuroblastoma
SK-N-FI,neuroblastoma
SK-N-SH,neuroblastoma
TGW,neuroblastoma
ASPC-1,pancreas
BXPC-3,pancreas
CAPAN-1,pancreas
CAPAN-2,pancreas
CFPAC-1,pancreas
DAN-G,pancreas
HPAC,pancreas
HPAF-II,pancreas
HS766T,pancreas
HUP-T3,pancreas
HUP-T4,pancreas
KP-1N,pancreas
KP-3,pancreas
KP-4,pancreas
MIA-PACA-2,pancreas
MZ1-PC,pancreas
PANC-02-03,pancreas
PANC-03-27,pancreas
PANC-04-03,pancreas
PANC-08-13,pancreas
PANC-10-05,pancreas
PA-TU-8902,pancreas
PA-TU-8988T,pancreas
PL18,pancreas
PL4,pancreas
PSN1,pancreas
QGP-1,pancreas
SU8686,pancreas
SUIT-2,pancreas
SW1990,pancreas
YAPC,pancreas
451LU,skin
A101D,skin
A2058,skin
A375,skin
C32,skin
CHL-1,skin
COLO-679,skin
COLO-792,skin
COLO-800,skin
COLO-829,skin
CP50-MEL-B,skin
CP66-MEL,skin
G-361,skin
GAK,skin
G-MEL,skin
HMV-II,skin
HS940-T,skin
HT-144,skin
IGR-1,skin
IGR-37,skin
IPC-298,skin
IST-MEL1,skin
LB2518-MEL,skin
LB373-MEL-D,skin
LOXIMVI,skin
M14,skin
MEL-HO,skin
MEL-JUSO,skin
MEWO,skin
MMAC-SF,skin
MZ2-MEL,skin
MZ7-MEL,skin
RPMI-7951,skin
RVH-421,skin
SH-4,skin
SK-MEL-1,skin
SK-MEL-2,skin
SK-MEL-24,skin
SK-MEL-28,skin
SK-MEL-3,skin
SK-MEL-30,skin
SK-MEL-31,skin
SK-MEL-5,skin
UACC-257,skin
UACC-62,skin
WM-115,skin
WM1552C,skin
WM278,skin
WM35,skin
WM793B,skin
A388,skin
A431,skin
DJM-1,skin
HT-1080,soft_tissue
SW684,soft_tissue
A204,soft_tissue
A673,soft_tissue
KYM-1,soft_tissue
RD,soft_tissue
RH-1,soft_tissue
RH-18,soft_tissue
RH-41,soft_tissue
SJRH30,soft_tissue
TE-441-T,soft_tissue
G-402,soft_tissue
GCT,soft_tissue
MFH-INO,soft_tissue
SK-LMS-1,soft_tissue
SK-UT-1,soft_tissue
SW872,soft_tissue
SW982,soft_tissue
VA-ES-BJ,soft_tissue
8305C,thyroid
8505C,thyroid
ASH-3,thyroid
BCPAP,thyroid
BHT-101,thyroid
CAL-62,thyroid
CGTH-W-1,thyroid
FTC-133,thyroid
HTC-C3,thyroid
IHH-4,thyroid
K5,thyroid
ML-1,thyroid
RO82-W-1,thyroid
TT,thyroid
TT2609-C02,thyroid
5637,urogenital_system
639-V,urogenital_system
647-V,urogenital_system
BFTC-905,urogenital_system
CAL-29,urogenital_system
DSH1,urogenital_system
HT-1197,urogenital_system
HT-1376,urogenital_system
J82,urogenital_system
KU-19-19,urogenital_system
LB831-BLC,urogenital_system
RT-112,urogenital_system
RT4,urogenital_system
SW1710,urogenital_system
SW780,urogenital_system
T-24,urogenital_system
TCCSUP,urogenital_system
UM-UC-3,urogenital_system
VM-CUB-1,urogenital_system
C-33-A,urogenital_system
C-4-I,urogenital_system
CAL-39,urogenital_system
CA-SKI,urogenital_system
DOTC2-4510,urogenital_system
HELA,urogenital_system
HT-3,urogenital_system
ME-180,urogenital_system
MS751,urogenital_system
SIHA,urogenital_system
SISO,urogenital_system
SKG-IIIA,urogenital_system
SW756,urogenital_system
TC-YIK,urogenital_system
AN3-CA,urogenital_system
COLO-684,urogenital_system
EN,urogenital_system
ESS-1,urogenital_system
HEC-1,urogenital_system
KLE,urogenital_system
MFE-280,urogenital_system
MFE-296,urogenital_system
MFE-319,urogenital_system
SNG-M,urogenital_system
A2780,urogenital_system
CAOV-4,urogenital_system
EFO-21,urogenital_system
EFO-27,urogenital_system
ES-2,urogenital_system
FU-OV-1,urogenital_system
IGROV-1,urogenital_system
JHOS-2,urogenital_system
JHOS-3,urogenital_system
JHOS-4,urogenital_system
KGN,urogenital_system
KURAMOCHI,urogenital_system
OAW-28,urogenital_system
OAW-42,urogenital_system
OC-314,urogenital_system
OV-17R,urogenital_system
OV-56,urogenital_system
OV-7,urogenital_system
OV-90,urogenital_system
OVCA420,urogenital_system
OVCAR-3,urogenital_system
OVCAR-4,urogenital_system
OVCAR-5,urogenital_system
OVCAR-8,urogenital_system
OVISE,urogenital_system
OVK-18,urogenital_system
OVKATE,urogenital_system
OVMIU,urogenital_system
OVTOKO,urogenital_system
PA-1,urogenital_system
PEO1,urogenital_system
RKN,urogenital_system
RMG-I,urogenital_system
SK-OV-3,urogenital_system
SW626,urogenital_system
TOV-112D,urogenital_system
TOV-21G,urogenital_system
TYK-NU,urogenital_system
UWB1.289,urogenital_system
22RV1,urogenital_system
BPH-1,urogenital_system
DU-145,urogenital_system
LNCAP-CLONE-FGC,urogenital_system
PC-3,urogenital_system
PWR-1E,urogenital_system
VCAP,urogenital_system
NCCIT,urogenital_system
NEC8,urogenital_system
NTERA-2 CL.D1,urogenital_system
JAR,urogenital_system
JEG-3,urogenital_system
SW954,urogenital_system
SW962,urogenital_system
MES-SA,urogenital_system
SKN,urogenital_system
DMS-79,lung_SCLC
CMK,leukemia
NB-4,leukemia
MHH-CALL-4,leukemia
BC-3,lymphoma
HT,lymphoma
JM1,lymphoma
BONNA-12,leukemia
ES6,bone
MHH-ES-1,bone
DIFI,large_intestine
NCI-H508,large_intestine
SNU-283,large_intestine
SW620,large_intestine
JHH-2,digestive_system
JHH-4,digestive_system
RCC-JF,kidney
SW156,kidney
HOP-62,lung_NSCLC
NCI-H1437,lung_NSCLC
PC-3 [JPC-3],lung_NSCLC
NCI-H740,lung_SCLC
COR-L95,lung_SCLC
HCC-33,lung_SCLC
NCI-H128,lung_SCLC
NCI-H1304,lung_SCLC
NCI-H2081,lung_SCLC
NCI-H2171,lung_SCLC
SHP-77,lung_SCLC
SW1271,lung_SCLC
D-423MG,nervous_system
KP-N-RT-BM-1,neuroblastoma
KP-N-YS,neuroblastoma
MC-IXC,neuroblastoma
COLO-783,skin
CP67-MEL,skin
HS633T,soft_tissue
KMH-2,thyroid
OMC-1,urogenital_system
RL95-2,urogenital_system
CAOV-3,urogenital_system
DOV13,urogenital_system
HEY,urogenital_system
NCI-H660,urogenital_system
JHU-029,aero_dig_tract
SCC90,aero_dig_tract
MOLM-16,leukemia
OCI-LY7,lymphoma
KMS-11,myeloma
CHSA0011,bone
CHSA0108,bone
JIMT-1,breast
CL-34,large_intestine
VMRC-LCD,lung_NSCLC
K2,skin
STS-0421,soft_tissue
MY-M12,leukemia
TALL-1,leukemia
NK-92MI,lymphoma
MDA-MB-175-VII,breast
YMB-1-E,breast
VMRC-RCW,kidney
NCI-H460,lung_NSCLC
RERF-LC-FM,lung_SCLC
D-245MG,nervous_system
HS939-T,skin
VMRC-MELG,skin
OVCA433,urogenital_system
TMK-1,digestive_system
KP-2,pancreas
KO52,leukemia
SC-1,lymphoma
U-CH2,bone
